cu_base_index,cu_charge_rt,cu_etn_yn,cu_fund_mgmt_co,cu_index_repl_mthd,cu_index_tracking_yn,cu_inverse_short_yn,cu_lev_fector,cu_strtegy,cu_upt_dt,du_base_dt_match_yn,du_bpr,du_clpr,du_clpr_base_dt,du_clpr_src,du_diff_rt,du_er_1d,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_base_dt,du_opr,du_upt_dt,du_val_1d,du_vol_1d,pd_abrv_nm,pd_curr_cd,pd_exg_mkt_cd,pd_grp_no,pd_isin_cd,pd_itm_no,pd_itm_no_ma,pd_lipper_id,pd_lstg_dt,pd_lst_price,pd_lst_stk_cnt,pd_mkt_id,pd_nm,pd_sale_yn,pd_trd_ccy,pd_tr_yn,pd_us_cik,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt
Fidelity US Low Volatility Factor TR USD,0.150000,,Fidelity Management & Research Company LLC,Optimized,Y,,,"The Fund seeks to provide investment returns that correspond to the performance of the Fidelity U.S. Low Volatility Factor Index. The Fidelity U.S. Low Volatility Factor Index, which is designed to reflect the performance of stocks of large and mid-capitalization US companies with lower volatility than the broader market.",20260614,N,69.31000000,69.65000000,20260616,pd65n101.tday_clpr,,0.000000,69.82500000,1390070000.00,,69.52970000,2026-06-14 00:00:00,69.70000000,20260616,1906796.00000000,27358.00000000,FDLO,USD,AMX,ETF,US3160928244,FDLO.K,FDLO.K,40216583,20160912,0E-8,20061945.00,US,Fidelity Low Volatility Factor ETF,1,USD,0,945908,69.65000000,27358.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.990000,,Tidal Investments LLC,,,,,"The Fund seeks to have current income and its second objective is to seek exposure to the share price of VanEck Gold Miners ETF, subject to a limit on potential investment gains. The Fund is an actively-managed ETF that uses a synthetic covered call strategy to provide income and indirect exposure to the share price.",20260614,N,10.94000000,11.45000000,20260616,pd65n101.tday_clpr,,0.000000,11.63400000,231900000.00,,11.37000000,2026-06-14 00:00:00,11.45000000,20260616,9003808.00000000,783640.00000000,GDXY,USD,AMX,ETF,US88634T8817,GDXY.K,GDXY.K,40301540,20240520,0E-8,21175000.00,US,YieldMax Gold Miners Option Income Strategy ETF,1,USD,0,1924868,11.45000000,783640.00000000,,Alternatives,United States of America,20260614
MSCI Thailand IMI 25/50 NR USD,0.590000,,BlackRock Fund Advisors,Optimized,Y,,,The Fund seeks to track the investment results of a broad-index composed of Thai equities. The Fund invests at least 90% of its assets in the component securities of the Underlying Index and in investments that have economic characteristics that are substantially identical to the component securities of the index.,20260614,N,72.81520000,73.25000000,20260616,pd65n101.tday_clpr,,0.000000,73.36000000,356700000.00,74.312500,73.04000000,2026-06-14 00:00:00,73.23000000,20260616,3303437.00000000,45130.00000000,THD,USD,AMX,ETF,US4642866242,THD,THD,40119502,20080326,0E-8,4800000.00,US,iShares MSCI Thailand ETF,1,USD,0,930667,73.25000000,45130.00000000,,Equity,Thailand,20260614
Index is not provided by Management Company,0.500000,,PGIM Investments LLC,,,,,"The Fund seeks to provide investors with returns that match the price return of the SPDR S&P 500 ETF Trust up to a predetermined upside cap of 11.97% over the period February 1, 2024 through January 31, 2025, while providing a downside buffer against its first 20% losses over the one year Target Outcome Period.",20260614,N,31.68990000,31.91780000,20260616,pd65n101.tday_clpr,,0.000000,31.77000000,35560000.00,,31.74800000,2026-06-14 00:00:00,31.77000000,20260613,50961.00000000,1605.00000000,PBFB,USD,AMX,ETF,US69420N4034,PBFB.K,PBFB.K,40301037,20240131,0E-8,1120401.00,US,PGIM S&P 500 Buffer 20 ETF - February,1,USD,0,1992104,31.74800000,1605.00000000,,Alternatives,United States of America,20260614
Index is not provided by Management Company,0.750000,,Themes Management Company LLC,,,,,The Fund seeks daily levered investment result of (200%) of the daily performance of the publicly traded common stock of Ciena Corporation. The Fund invests at least 80% of its net assets in the Underlying Security and financial instruments with economic characteristics that provides exposure to the price of the CIEN.,20260614,N,8.12000000,8.76000000,20260616,pd65n101.tday_clpr,,0.000000,9.30000000,19800000.00,,8.18010000,2026-06-14 00:00:00,9.16000000,20260616,11139515.00000000,1289301.00000000,CIEG,USD,AMX,ETF,US88340C4463,CIEG.K,CIEG.K,40306754,20260511,0E-8,2440000.00,US,Leverage Shares 2X Long CIEN Daily ETF,1,USD,0,1976322,8.76000000,1289301.00000000,,Alternatives,United States of America,20260614
Index is not provided by Management Company,0.440000,,Massachusetts Financial Services Co,,,,,"The Fund seeks capital appreciation. MFS normally invests at least 80% of the funds net assets in equity securities of issuers that are tied economically to emerging market countries. The Fund pays transaction costs, such as commissions, when it buys and sells securities or turns over its portfolio.",20260614,N,27.04800000,27.99500000,20260616,pd65n101.tday_clpr,,0.000000,27.19500000,26290000.00,,27.17000000,2026-06-14 00:00:00,27.17000000,20260613,11252.00000000,414.00000000,BREE,USD,NYS,ETF,US55286W8846,BREE.K,BREE.K,40306096,20260305,0E-8,975000.00,US,MFS Blended Research Emerging Markets Equity ETF,1,USD,0,2018846,27.19500000,414.00000000,,Equity,Global Emerging Markets,20260614
Index is not provided by Management Company,0.890000,,Innovator Capital Management LLC,,,,,The Fund seeks to provide capital appreciation while seeking to limit the amount of losses experienced by investors. The Fund will invest at least 80% of its net assets in equity securities and option contracts that give economic exposure to equity securities of companies located in international developed markets.,20260614,N,53.06280000,53.34280000,20260616,pd65n101.tday_clpr,,0.000000,53.48000000,68490000.00,,53.33000000,2026-06-14 00:00:00,53.33000000,20260616,393900.00000000,7375.00000000,IFLR,USD,AMX,ETF,US45784N3879,IFLR.K,IFLR.K,40305135,20251119,0E-8,1300000.00,US,Innovator International Developed Managed Flr ETF,1,USD,0,1415726,53.34280000,7375.00000000,,Alternatives,Global Ex US,20260614
Bloomberg US MBS Float Adjusted TR USD,0.020000,,"Vanguard Capital Management, LLC",Optimized,Y,,,The Fund seeks to track the performance of a market-weighted mortgage-backed securities index. The Fund employs an indexing approach to track the Bloomberg Barclays US MBS Float Adjusted Index. The Fund invests by sampling the Index and at least 80% of the Funds assets will be invested in bonds included in the Index.,20260614,N,46.68000000,46.77000000,20260616,pd65n101.tday_clpr,,0.000000,46.85000000,15415720000.00,,46.74000000,2026-06-14 00:00:00,46.74000000,20260616,43608818.00000000,931824.00000000,VMBS,USD,NAS,ETF,US92206C7719,VMBS.O,VMBS.O,40179369,20091119,0E-8,331734934.00,US,Vanguard Mortgage-Backed Secs Idx Fund;ETF,1,USD,0,1021882,46.77000000,931824.00000000,,Bond,United States of America,20260614
Motley Fool Value USD,0.500000,,Motley Fool Asset Management LLC,Optimized,Y,,,"The Fund seeks investment results that correspond before fees and expenses generally to the total return performance of the Motley Fool Value Index. The Fund pays transaction costs, such as commissions, when it buys and sells securities. the Fund invests at least 80% of the Value Funds total assets.",20260614,N,20.24620000,20.27450000,20260616,pd65n101.tday_clpr,,0.000000,20.41000000,7280000.00,,20.26200000,2026-06-14 00:00:00,20.31000000,20260616,72443.00000000,3558.00000000,MFVL,USD,NAS,ETF,US74938Y8755,MFVL.O,MFVL.O,40305260,20251208,0E-8,360000.00,US,Motley Fool Value Factor ETF,1,USD,0,831114,20.27450000,3558.00000000,,Equity,United States of America,20260614
Index is not available on Lipper Database,0.250000,,Van Eck Associates Corp,Optimized,Y,,,"The Fund seeks to track, as closely as possible, the performance of the MVIS Moody's Analytics US BBB Corporate Bond Index, which is comprised of US dollar-denominated corporate bonds that have a BBB rating. The Fund normally invests at least 80% of its total assets in securities that comprise the Index.",20260614,N,21.35040000,21.37340000,20260616,pd65n101.tday_clpr,,0.000000,21.40000000,5330000.00,21.320000,21.37000000,2026-06-14 00:00:00,21.40000000,20260616,41380.00000000,1935.00000000,MBBB,USD,AMX,ETF,US92189H8549,MBBB.K,MBBB.K,40231073,20201201,0E-8,250000.00,US,VanEck Moody's Analytics BBB Corporate Bond ETF,1,USD,0,1137360,21.37340000,1935.00000000,,Bond,United States of America,20260614
EQM Global Cannabis USD,0.070000,,Amplify Investments LLC,,,,,"The Fund seeks to provide investors capital appreciation. Under normal market conditions, the Fund will invest at least 80% of its net assets in the securities of US companies that derive 50% or more of their revenue from the cannabis and hemp ecosystem and in derivatives that have same economic characteristics.",20260614,N,29.19000000,28.80770000,20260616,pd65n101.tday_clpr,,0.000000,29.76000000,88160000.00,,28.66500000,2026-06-14 00:00:00,29.76000000,20260616,248227.00000000,8505.00000000,CNBS,USD,AMX,ETF,US0321084826,CNBS.K,CNBS.K,40226964,20190723,0E-8,2987467.00,US,Amplify Seymour Cannabis ETF,1,USD,0,1633061,28.80770000,8505.00000000,,Equity,Global,20260614
Index is not provided by Management Company,0.990000,,Roundhill Financial Inc,,,,,"The Fund seeks to pay weekly distributions as the primary investment objective. The Funds secondary investment objective is to provide calendar week returns, that correspond to 1.2 times (120%) the calendar week total return of common shares of UnitedHealth Group Incorporated and utilize UNH as the reference asset.",20260614,N,53.07410000,53.58000000,20260616,pd65n101.tday_clpr,,0.000000,54.23000000,4810000.00,,51.11000000,2026-06-14 00:00:00,51.75000000,20260616,2117729.00000000,40205.00000000,UNHW,USD,AMX,ETF,US77926X5445,UNHW.K,UNHW.K,40305258,20251202,0E-8,90000.00,US,Roundhill UNH WeeklyPayTM ETF,1,USD,0,1976517,53.58000000,40205.00000000,,Alternatives,United States of America,20260614
Index is not available on Lipper Database,0.250000,,Charles Schwab Investment Management Inc,Optimized,Y,,,"The Fund seeks to track as closely as possible, before fees and expenses, the total return of an index that measures the performance of large U.S. companies based on their fundamental size and weight. The fund generally invests in stocks that are included in the RAFI Fundamental High Liquidity US Large Index",20260614,N,31.30000000,31.43000000,20260616,pd65n101.tday_clpr,,0.000000,31.55000000,25939340000.00,,31.40000000,2026-06-14 00:00:00,31.47900000,20260616,69554456.00000000,2207943.00000000,FNDX,USD,AMX,ETF,US8085247711,FNDX.K,FNDX.K,40204683,20130814,0E-8,828750000.00,US,Schwab Fundamental US Large Company ETF,1,USD,0,1454889,31.43000000,2207943.00000000,,Equity,United States of America,20260614
MSCI AC World TR USD,0.780000,,Rareview Capital LLC,,,,,"The Fund seeks returns that exceed global developed and emerging markets equities. The Fund is an actively managed ETF that seeks to achieve its investment objective by investing in ETFs that primarily invest in equity securities of domestic, foreign or emerging market issuers of any market capitalization.",20260614,N,39.01300000,39.90300000,20260616,pd65n101.tday_clpr,,0.000000,40.09000000,71950000.00,,39.88000000,2026-06-14 00:00:00,39.91000000,20260616,178687.00000000,4469.00000000,RSEE,USD,AMX,ETF,US19423L5407,RSEE.K,RSEE.K,40233516,20220119,0E-8,1845000.00,US,Rareview Systematic Equity ETF,1,USD,0,1719812,39.90300000,4469.00000000,,Alternatives,Global,20260614
Index is not available on Lipper Database,0.180000,,Invesco Capital Management LLC,Optimized,Y,,,"The Fund seeks to track the investment results of the Invesco BulletShares Municipal Bond 2029 Index. The Fund generally invests at least 80% of its assets in the Index, designed to measure the performance of a portfolio of US dollar-denominated investment-grade municipal bonds with maturities in the year 2029.",20260614,N,23.07000000,23.10500000,20260616,pd65n101.tday_clpr,,0.000000,23.13990000,276470000.00,,23.10010000,2026-06-14 00:00:00,23.13000000,20260616,1395357.00000000,60362.00000000,BSMT,USD,NAS,ETF,US46138J4783,BSMT.O,BSMT.O,40227708,20190925,0E-8,12000001.00,US,Invesco BulletShares 2029 Municipal Bond ETF,1,USD,0,1657201,23.10500000,60362.00000000,,Bond,United States of America,20260614
ICE U.S. Treasury Inflation Linked Bd 0-5Y TR USD,0.030000,,BlackRock Fund Advisors,Optimized,Y,,,The Fund seeks investment results that correspond generally to the price and yield performance of the Barclays Capital U.S. Treasury Inflation-Protected Securities 0-5 Years Index.  The Index measures the performance of the inflation-protected public obligations of the U.S. Treasury.,20260614,N,102.38000000,102.42000000,20260616,pd65n101.tday_clpr,,0.000000,102.44500000,15929400000.00,,102.35000000,2026-06-14 00:00:00,102.38000000,20260616,70565619.00000000,689185.00000000,STIP,USD,AMX,ETF,US46429B7477,STIP.K,STIP.K,40187680,20101201,0E-8,155850000.00,US,iShares 0-5 Year TIPS Bond ETF,1,USD,0,1100663,102.42000000,689185.00000000,,Bond,United States of America,20260614
Index is not provided by Management Company,0.230000,,Dimensional Fund Advisors LP,,,,,"The Fund seeks to achieve long-term capital appreciation. Under normal circumstances, the fund will invest in emerging market equity investments. To achieve the investment objective, Advisor implements an integrated investment approach that combines research, portfolio design, portfolio management, and trading functions.",20260614,N,81.06000000,83.85000000,20260616,pd65n101.tday_clpr,,0.000000,84.07000000,324830000.00,,83.50560000,2026-06-14 00:00:00,83.76000000,20260616,922080.00000000,10995.00000000,DEXC,USD,AMX,ETF,US25434V5342,DEXC.K,DEXC.K,40302109,20241113,0E-8,4050000.00,US,Dimensional Emerging Markets ex China Cr Eqty ETF,1,USD,0,1816125,83.85000000,10995.00000000,,Equity,Global Emerging Markets,20260614
Bloomberg US Universal Float Adjusted USD,0.030000,,"Vanguard Capital Management, LLC",Full,Y,,,"The Fund seeks to track the performance of a broad, market-weighted bond index. The Fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the bonds that make up the Target Index. The Fund invests by sampling its Target Index and buys and sells securities.",20260614,N,74.10000000,74.18000000,20260616,pd65n101.tday_clpr,,0.000000,74.31000000,117020000.00,,74.18000000,2026-06-14 00:00:00,74.31000000,20260616,278226.00000000,3747.00000000,BNDP,USD,NAS,ETF,US9219138693,BNDP.O,BNDP.O,40305282,20251202,0E-8,1725000.00,US,Vanguard Core-Plus Bond Index ETF,1,USD,0,799127,74.18000000,3747.00000000,,Bond,Global,20260614
MVIS Global Clean-Tech Metals TR USD,0.590000,,Van Eck Associates Corp,Optimized,Y,,,"The Fund seeks to track as closely as possible the price and yield performance of the MVIS Global Clean-Tech Metals Index. The Index is a global index that tracks the performance of Green Metals Companies. Green Metals Companies are companies involved in the production, refining, processing and recycling of green metals.",20260614,N,44.30940000,45.82650000,20260616,pd65n101.tday_clpr,,0.000000,46.35000000,36370000.00,45.462500,45.80500000,2026-06-14 00:00:00,46.16000000,20260616,147836.00000000,3210.00000000,GMET,USD,AMX,ETF,US92189Y2046,GMET.K,GMET.K,40233340,20211109,0E-8,800000.00,US,VanEck Green Metals ETF,1,USD,0,1137360,45.82650000,3210.00000000,,Equity,Global,20260614
Index is not provided by Management Company,0.700000,,Hexis Capital Management Ltd,,,,,The Fund seeks long-term capital appreciation. The Fund invests at least 80% of its net assets in companies that have at least 50% of their revenue attributable to the global tobacco and nicotine sectors. The Funds investments in Tobacco/Nicotine Companies will primarily be in the form of direct equity investments.,20260614,N,26.18480000,25.93420000,20260616,pd65n101.tday_clpr,,0.000000,25.95500000,1560000.00,26.000000,25.93420000,2026-06-14 00:00:00,25.95500000,20260616,2621.00000000,101.00000000,NICO,USD,AMX,ETF,US81752T3876,NICO.K,NICO.K,40306604,20260505,0E-8,60000.00,US,Hexis Active Nicotine Engagement ETF,1,USD,0,1650149,25.93420000,101.00000000,,Equity,Global Emerging Markets,20260614
MSCI ACWI EX US IMI NR,0.070000,,BlackRock Fund Advisors,Optimized,Y,,,"The Fund seeks investment results that correspond to the price and yield performance of the MSCI ACWI ex USA Investable Market Index. The Underlying Index is a free float-adjusted market capitalization index to measure the combined equity market performance of developed and emerging markets countries, excluding the US.",20260614,N,95.13690000,96.55000000,20260616,pd65n101.tday_clpr,,0.000000,96.93000000,58355620000.00,,96.39000000,2026-06-14 00:00:00,96.87000000,20260616,387985073.00000000,4017509.00000000,IXUS,USD,NAS,ETF,US46432F8344,IXUS.O,IXUS.O,40201018,20121018,0E-8,606000000.00,US,iShares Core MSCI Total International Stock ETF,1,USD,0,1100663,96.55000000,4017509.00000000,,Equity,Global Ex US,20260614
MSCI EM (Emerging Markets) Small Cap NR USD,0.720000,,BlackRock Fund Advisors,Optimized,Y,,,The Fund seeks to track the investment results of an index composed of small-capitalization emerging market equities. The Fund generally will invest at least 90% of its assets in the component securities of the Underlying Index and in investments that have economic characteristics similar to such securities.,20260614,N,76.00210000,77.88000000,20260616,pd65n101.tday_clpr,,0.000000,77.98000000,384010000.00,76.802000,77.73500000,2026-06-14 00:00:00,77.82000000,20260616,407268.00000000,5229.00000000,EEMS,USD,AMX,ETF,US4642864759,EEMS.K,EEMS.K,40118466,20110816,0E-8,5000000.00,US,iShares MSCI Emerging Markets Small-Cap ETF,1,USD,0,930667,77.88000000,5229.00000000,,Equity,Global Emerging Markets,20260614
Index is not provided by Management Company,1.050000,,Tuttle Capital Management LLC,,,,,"The Fund seeks daily investment results of 200% of the daily performance of DJT. The Fund, normally, plus any borrowings for investment purposes, invests in swap agreements that provide 200% daily exposure to DJT equal to at least 80% of its net assets and without regard to overall market movement of DJT.",20260614,N,1.01000000,1.18000000,20260616,pd65n101.tday_clpr,,0.000000,1.21000000,10370000.00,,1.09000000,2026-06-14 00:00:00,1.09000000,20260616,1291450.00000000,1112443.00000000,DJTU,USD,AMX,ETF,US26923N3145,DJTU.K,DJTU.K,40303267,20250303,0E-8,10250000.00,US,T-REX 2X Long DJT Daily Target ETF,1,USD,0,1771146,1.18000000,1112443.00000000,,Alternatives,United States of America,20260614
Index is not available on Lipper Database,0.490000,,BlackRock Fund Advisors,Optimized,Y,,,"The Fund seeks investment result that correspond to the price and yield performance of Dow Jones Asia/Pacific Select Dividend 30 Index. The Index measures the performance of high dividend paying companies in Australia, Hong Kong, New Zealand, and Singapore.",20260614,N,48.78200000,48.70600000,20260616,pd65n101.tday_clpr,,0.000000,48.96000000,69680000.00,,48.68200000,2026-06-14 00:00:00,48.96000000,20260616,428980.00000000,8780.00000000,DVYA,USD,AMX,ETF,US4642862936,DVYA.K,DVYA.K,40197082,20120223,0E-8,1400000.00,US,iShares Asia/Pacific Dividend ETF,1,USD,0,930667,48.70600000,8780.00000000,,Equity,Asia Pacific,20260614
Index is not provided by Management Company,0.790000,,Innovator Capital Management LLC,,,,,The Fund seeks to provide capital appreciation while seeking to limit the amount of losses experienced by investors. The Fund will invest its assets (including borrowings for investment purposes) in equity securities and option contracts that give economic exposure to equity securities of US small cap companies.,20260614,N,26.45850000,26.51000000,20260616,pd65n101.tday_clpr,,0.000000,26.59000000,7930000.00,,26.50000000,2026-06-14 00:00:00,26.59000000,20260616,259087.00000000,9760.00000000,KBFR,USD,AMX,ETF,US45784N2624,KBFR.K,KBFR.K,40306004,20260223,0E-8,300000.00,US,Innovator US Small Cap Managed 10 Buffer ETF,1,USD,0,1415726,26.51000000,9760.00000000,,Alternatives,United States of America,20260614
Index is not provided by Management Company,0.330000,,Janus Henderson Investors US LLC,,,,,"The Fund seeks current income with a focus on preservation of capital. The Fund pursues its investment objective by investing at least 80% of its net assets in asset-backed securities (ABS). Under normal market conditions, the Fund primarily invests a substantial portion of its assets in ABS rated A- or higher.",20260614,N,49.99500000,50.00000000,20260616,pd65n101.tday_clpr,,0.000000,50.02990000,134730000.00,49.900000,49.98000000,2026-06-14 00:00:00,49.98000000,20260616,39555.00000000,791.00000000,JABS,USD,AMX,ETF,US47103U6881,JABS.K,JABS.K,40304100,20250722,0E-8,2700000.00,US,Janus Henderson Asset-Backed Securities ETF,1,USD,0,1500604,50.00000000,791.00000000,,Bond,United States of America,20260614
BlackRock iBonds 1-5 Year TIPS Ladder TR USD,0.000000,,BlackRock Fund Advisors,Optimized,Y,,,The Fund seeks to track the investment results of an index composed of a portfolio of underlying iShares iBonds TIPS ETFs with maturities less than six years. iShares iBonds 1-5 Year TIPS Ladder ETF is a fund of funds and seeks to track the investment results of the BlackRock iBonds 1-5 Year TIPS Ladder Index.,20260614,N,25.61500000,25.64000000,20260616,pd65n101.tday_clpr,,0.000000,25.64000000,20990000.00,,25.63000000,2026-06-14 00:00:00,25.64000000,20260616,246427.00000000,9613.00000000,LDRI,USD,AMX,ETF,US46438G5137,LDRI.K,LDRI.K,40302568,20241107,0E-8,820000.00,US,iShares iBonds 1-5 Year TIPS Ladder ETF,1,USD,0,1100663,25.64000000,9613.00000000,,Bond,United States of America,20260614
